  1.829 19.385   1.758 17.253   1.681 15.114   1.599 12.967   1.512 10.811   1.420  8.647   1.326  6.474   1.229  4.292   1.131  2.100 
  1.785 19.429   1.710 17.293   1.629 15.149   1.543 12.996   1.453 10.835   1.360  8.666   1.264  6.486   1.167  4.298   1.069  2.100 
  1.737 19.471   1.659 17.329   1.575 15.180   1.486 13.022   1.394 10.856   1.299  8.680   1.202  6.495   1.104  4.300   1.006  2.096 
  1.688 19.509   1.606 17.363   1.519 15.208   1.428 13.045   1.333 10.872   1.237  8.691   1.139  6.499   1.041  4.298   0.944  2.088 
  1.636 19.544   1.550 17.393   1.461 15.233   1.368 13.064   1.272 10.885   1.175  8.697   1.076  6.500   0.979  4.293   0.882  2.076 
  1.582 19.576   1.494 17.419   1.402 15.253   1.307 13.078   1.210 10.894   1.112  8.700   1.014  6.496   0.916  4.283   0.821  2.060 
  1.526 19.605   1.435 17.442   1.341 15.271   1.245 13.089   1.147 10.899   1.049  8.699   0.951  6.489   0.855  4.270   0.761  2.041 
  1.468 19.630   1.375 17.461   1.280 15.284   1.182 13.097   1.084 10.900   0.986  8.694   0.890  6.478   0.795  4.252   0.703  2.018 
  1.409 19.651   1.314 17.477   1.218 15.293   1.120 13.100   1.022 10.897   0.924  8.684   0.829  6.462   0.736  4.231   0.646  1.991 
  1.349 19.669   1.253 17.488   1.155 15.298   1.057 13.099   0.959 10.890   0.863  8.671   0.769  6.444   0.678  4.206   0.591  1.961 
  1.287 19.682   1.190 17.496   1.092 15.300   0.994 13.094   0.897 10.879   0.802  8.655   0.710  6.421   0.622  4.178   0.538  1.927 
  1.225 19.692   1.127 17.500   1.029 15.298   0.932 13.086   0.836 10.865   0.743  8.634   0.653  6.395   0.567  4.146   0.487  1.890 
  1.163 19.698   1.065 17.499   0.967 15.291   0.870 13.073   0.776 10.846   0.685  8.610   0.598  6.365   0.515  4.111   0.439  1.850 
  1.100 19.700   1.002 17.495   0.905 15.281   0.810 13.057   0.717 10.824   0.629  8.582   0.544  6.331   0.466  4.073   0.393  1.807 
  1.037 19.698   0.940 17.487   0.844 15.267   0.750 13.037   0.660 10.798   0.574  8.551   0.493  6.295   0.418  4.032   0.350  1.761 
  0.975 19.692   0.878 17.475   0.784 15.249   0.692 13.013   0.605 10.769   0.522  8.516   0.445  6.255   0.374  3.987   0.310  1.713 
  0.913 19.682   0.817 17.459   0.725 15.227   0.636 12.986   0.551 10.736   0.472  8.478   0.398  6.213   0.332  3.940   0.273  1.662 
  0.851 19.669   0.758 17.440   0.667 15.201   0.581 12.955   0.500 10.700   0.424  8.437   0.355  6.167   0.293  3.891   0.239  1.609 
  0.791 19.651   0.699 17.416   0.611 15.172   0.528 12.920   0.451 10.660   0.379  8.393   0.315  6.119   0.258  3.839   0.209  1.554 
  0.732 19.630   0.643 17.389   0.558 15.140   0.478 12.883   0.404 10.618   0.337  8.346   0.277  6.069   0.226  3.785   0.182  1.497 
  0.674 19.605   0.588 17.359   0.506 15.104   0.430 12.842   0.360 10.573   0.298  8.297   0.243  6.016   0.197  3.729   0.159  1.439 
  0.618 19.576   0.535 17.325   0.457 15.065   0.385 12.799   0.320 10.525   0.262  8.246   0.213  5.961   0.172  3.672   0.140  1.379 
  0.564 19.544   0.484 17.288   0.410 15.024   0.342 12.752   0.282 10.475   0.229  8.192   0.185  5.904   0.150  3.613   0.124  1.318 
  0.512 19.509   0.436 17.248   0.366 14.979   0.303 12.704   0.247 10.422   0.200  8.136   0.162  5.846   0.132  3.552   0.112  1.256 
  0.463 19.471   0.390 17.204   0.325 14.931   0.266 12.652   0.216 10.368   0.175  8.079   0.142  5.787   0.118  3.491   0.104  1.194 
  0.415 19.429   0.347 17.158   0.286 14.881   0.233 12.599   0.189 10.312   0.153  8.020   0.126  5.726   0.108  3.429   0.100  1.131 
  0.371 19.385   0.307 17.110   0.251 14.829   0.204 12.543   0.165 10.253   0.134  7.960   0.114  5.664   0.102  3.367   0.100  1.069 
  0.329 19.337   0.271 17.059   0.220 14.775   0.178 12.486   0.144 10.194   0.120  7.899   0.105  5.602   0.100  3.304   0.104  1.006 
  0.291 19.288   0.237 17.006   0.192 14.719   0.155 12.428   0.128 10.133   0.109  7.837   0.101  5.539   0.102  3.241   0.112  0.944 
  0.256 19.236   0.207 16.950   0.167 14.661   0.136 12.368   0.115 10.072   0.103  7.775   0.100  5.476   0.107  3.179   0.124  0.882 
  0.224 19.182   0.181 16.894   0.147 14.602   0.122 12.307   0.106 10.010   0.100  7.712   0.104  5.414   0.117  3.116   0.140  0.821 
  0.195 19.126   0.158 16.835   0.129 14.541   0.111 12.245   0.101  9.947   0.101  7.649   0.111  5.351   0.130  3.055   0.159  0.761 
  0.170 19.068   0.139 16.775   0.116 14.480   0.103 12.182   0.100  9.884   0.106  7.586   0.122  5.290   0.148  2.995   0.182  0.703 
  0.149 19.009   0.123 16.714   0.107 14.418   0.100 12.120   0.103  9.822   0.116  7.524   0.138  5.229   0.169  2.936   0.209  0.646 
  0.131 18.949   0.112 16.653   0.102 14.355   0.101 12.057   0.110  9.759   0.129  7.463   0.156  5.169   0.194  2.878   0.239  0.591 
  0.118 18.887   0.104 16.590   0.100 14.292   0.106 11.994   0.121  9.697   0.145  7.402   0.179  5.110   0.222  2.822   0.273  0.538 
  0.108 18.825   0.100 16.527   0.102 14.229   0.114 11.932   0.135  9.636   0.166  7.343   0.205  5.053   0.254  2.767   0.310  0.487 
  0.102 18.763   0.101 16.465   0.109 14.167   0.127 11.870   0.154  9.576   0.190  7.285   0.235  4.998   0.289  2.715   0.350  0.439 
  0.100 18.700   0.105 16.402   0.119 14.105   0.143 11.810   0.176  9.517   0.218  7.229   0.269  4.944   0.327  2.666   0.393  0.393 
  0.102 18.637   0.113 16.340   0.133 14.044   0.163 11.750   0.202  9.460   0.249  7.174   0.305  4.893   0.368  2.618   0.439  0.350 
  0.108 18.575   0.125 16.278   0.151 13.984   0.187 11.692   0.231  9.405   0.284  7.122   0.345  4.845   0.413  2.574   0.487  0.310 
  0.118 18.513   0.141 16.217   0.173 13.925   0.214 11.636   0.264  9.351   0.322  7.072   0.387  4.798   0.460  2.532   0.538  0.273 
