 0.468085    6.68060    6.42211    6.16361    5.90511    5.64661    5.38811    5.12962    4.87112    4.61262    4.35412    4.09563    3.83713    3.57863    3.32013    3.06163   2.807   2.569   2.347   2.140   1.946   1.765
 0.458333    6.77511    6.50993    6.24474    5.97956    5.71438    5.44920    5.18401    4.91883    4.65365    4.38847    4.12328    3.85810    3.59292    3.32774    3.06255   2.807   2.569   2.347   2.140   1.946   1.765
 0.448980    6.86810    6.59618    6.32425    6.05232    5.78039    5.50847    5.23654    4.96461    4.69268    4.42076    4.14883    3.87690    3.60497    3.33305   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.440000    6.95962    6.68089    6.40216    6.12342    5.84469    5.56596    5.28722    5.00849    4.72976    4.45102    4.17229    3.89355    3.61482    3.33609   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.431373    7.04971    6.76410    6.47850    6.19290    5.90730    5.62170    5.33610    5.05049    4.76489    4.47929    4.19369    3.90809    3.62249    3.33688   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.423077    7.13839    6.84585    6.55332    6.26079    5.96826    5.67572    5.38319    5.09066    4.79813    4.50559    4.21306    3.92053    3.62800   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.415094    7.22570    6.92618    6.62665    6.32712    6.02760    5.72807    5.42854    5.12901    4.82949    4.52996    4.23043    3.93091    3.63138   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.407407    7.31169    7.00511    6.69852    6.39194    6.08535    5.77876    5.47218    5.16559    4.85901    4.55242    4.24583    3.93925    3.63266   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.400000    7.39640    7.08269    6.76898    6.45527    6.14156    5.82785    5.51414    5.20043    4.88672    4.57301    4.25930    3.94558   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
 0.392857    7.47986    7.15895    6.83805    6.51715    6.19625    5.87535    5.55445    5.23355    4.91265    4.59175    4.27085    3.94994   3.633   3.337   3.063   2.807   2.569   2.347   2.140   1.946   1.765
