-3.000 -0.637 -0.137
-2.997 -0.637 -0.137
-2.993 -0.636 -0.136
-2.990 -0.636 -0.136
-2.987 -0.636 -0.136
-2.983 -0.636 -0.136
-2.980 -0.635 -0.135
-2.977 -0.635 -0.135
-2.973 -0.634 -0.134
-2.970 -0.634 -0.134
-2.967 -0.633 -0.133
-2.963 -0.632 -0.132
-2.960 -0.632 -0.132
-2.957 -0.631 -0.131
-2.953 -0.630 -0.130
-2.950 -0.629 -0.129
-2.947 -0.628 -0.128
-2.943 -0.627 -0.127
-2.940 -0.625 -0.125
-2.937 -0.624 -0.124
-2.933 -0.623 -0.123
-2.930 -0.621 -0.121
-2.927 -0.620 -0.120
-2.923 -0.618 -0.118
-2.920 -0.617 -0.117
-2.917 -0.615 -0.115
-2.913 -0.613 -0.113
-2.910 -0.611 -0.111
-2.907 -0.609 -0.109
-2.903 -0.607 -0.107
-2.900 -0.605 -0.105
-2.897 -0.603 -0.103
-2.893 -0.601 -0.101
-2.890 -0.599 -0.099
-2.887 -0.597 -0.097
-2.883 -0.594 -0.094
-2.880 -0.592 -0.092
-2.877 -0.589 -0.089
-2.873 -0.587 -0.087
-2.870 -0.584 -0.084
-2.867 -0.582 -0.082
-2.863 -0.579 -0.079
-2.860 -0.576 -0.076
-2.857 -0.573 -0.073
-2.853 -0.570 -0.070
-2.850 -0.567 -0.067
-2.847 -0.564 -0.064
-2.843 -0.561 -0.061
-2.840 -0.558 -0.058
-2.837 -0.555 -0.055
-2.833 -0.551 -0.051
-2.830 -0.548 -0.048
-2.827 -0.545 -0.045
-2.823 -0.541 -0.041
-2.820 -0.538 -0.038
-2.817 -0.534 -0.034
-2.813 -0.530 -0.030
-2.810 -0.527 -0.027
-2.807 -0.523 -0.023
-2.803 -0.519 -0.019
-2.800 -0.515 -0.015
-2.797 -0.511 -0.011
-2.793 -0.507 -0.007
-2.790 -0.503 -0.003
-2.787 -0.499  0.001
-2.783 -0.495  0.005
-2.780 -0.491  0.009
-2.777 -0.486  0.014
-2.773 -0.482  0.018
-2.770 -0.478  0.022
-2.767 -0.473  0.027
-2.763 -0.469  0.031
-2.760 -0.464  0.036
-2.757 -0.459  0.041
-2.753 -0.455  0.045
-2.750 -0.450  0.050
