  10.716 -3.857  11.232 -4.713  11.747 -5.570  12.263 -6.427  12.779 -7.284
  10.722 -3.853  11.245 -4.705  11.767 -5.558  12.290 -6.411  12.812 -7.263
  10.729 -3.849  11.258 -4.697  11.788 -5.546  12.317 -6.394  12.846 -7.243
  10.736 -3.844  11.272 -4.689  11.807 -5.533  12.343 -6.377  12.879 -7.222
  10.742 -3.840  11.285 -4.680  11.827 -5.520  12.370 -6.360  12.912 -7.200
  10.749 -3.836  11.298 -4.672  11.847 -5.507  12.396 -6.343  12.945 -7.179
  10.756 -3.831  11.311 -4.663  11.867 -5.494  12.422 -6.326  12.978 -7.157
  10.762 -3.827  11.324 -4.654  11.886 -5.481  12.448 -6.308  13.010 -7.135
  10.769 -3.823  11.337 -4.645  11.906 -5.468  12.474 -6.291  13.043 -7.113
  10.775 -3.818  11.350 -4.636  11.925 -5.454  12.500 -6.273  13.075 -7.091
  10.781 -3.814  11.363 -4.627  11.944 -5.441  12.526 -6.254  13.107 -7.068
  10.788 -3.809  11.376 -4.618  11.963 -5.427  12.551 -6.236  13.139 -7.045
  10.794 -3.804  11.388 -4.609  11.982 -5.413  12.576 -6.218  13.171 -7.022
  10.800 -3.800  11.401 -4.599  12.001 -5.399  12.602 -6.199  13.202 -6.998
  10.807 -3.795  11.413 -4.590  12.020 -5.385  12.627 -6.180  13.233 -6.975
  10.813 -3.790  11.426 -4.580  12.039 -5.370  12.652 -6.161  13.265 -6.951
  10.819 -3.785  11.438 -4.571  12.057 -5.356  12.676 -6.141  13.295 -6.927
  10.825 -3.780  11.450 -4.561  12.076 -5.341  12.701 -6.122  13.326 -6.902
  10.831 -3.775  11.463 -4.551  12.094 -5.326  12.725 -6.102  13.357 -6.877
  10.837 -3.771  11.475 -4.541  12.112 -5.312  12.750 -6.082  13.387 -6.853
  10.843 -3.765  11.487 -4.531  12.130 -5.296  12.774 -6.062  13.417 -6.827
  10.849 -3.760  11.499 -4.521  12.148 -5.281  12.798 -6.042  13.447 -6.802
  10.855 -3.755  11.511 -4.511  12.166 -5.266  12.822 -6.021  13.477 -6.776
  10.861 -3.750  11.523 -4.500  12.184 -5.250  12.845 -6.000  13.507 -6.751
  10.867 -3.745  11.534 -4.490  12.202 -5.235  12.869 -5.980  13.536 -6.724
  10.873 -3.740  11.546 -4.479  12.219 -5.219  12.892 -5.959  13.565 -6.698
  10.879 -3.734  11.558 -4.469  12.236 -5.203  12.915 -5.937  13.594 -6.672
  10.885 -3.729  11.569 -4.458  12.254 -5.187  12.938 -5.916  13.623 -6.645
  10.890 -3.724  11.581 -4.447  12.271 -5.171  12.961 -5.894  13.651 -6.618
  10.896 -3.718  11.592 -4.436  12.288 -5.154  12.984 -5.873  13.680 -6.591
  10.902 -3.713  11.603 -4.425  12.305 -5.138  13.006 -5.851  13.708 -6.563
  10.907 -3.707  11.614 -4.414  12.321 -5.121  13.028 -5.828  13.736 -6.536
  10.913 -3.702  11.625 -4.403  12.338 -5.105  13.051 -5.806  13.763 -6.508
