 0.800  0.000
 0.800  0.087
 0.800  0.174
 0.799  0.259
 0.798  0.342
 0.797  0.423
 0.796  0.500
 0.794  0.574
 0.792  0.643
 0.790  0.707
 0.788  0.766
 0.785  0.819
 0.783  0.866
 0.779  0.906
 0.776  0.940
 0.773  0.966
 0.769  0.985
 0.765  0.996
 0.761  1.000
 0.756  0.996
 0.752  0.985
 0.747  0.966
 0.742  0.940
 0.736  0.906
 0.731  0.866
 0.725  0.819
 0.719  0.766
 0.713  0.707
 0.706  0.643
 0.700  0.574
 0.693  0.500
 0.686  0.423
 0.678  0.342
 0.671  0.259
 0.663  0.174
 0.655  0.087
 0.647 -0.000
 0.639 -0.087
 0.630 -0.174
 0.622 -0.259
 0.613 -0.342
 0.604 -0.423
 0.595 -0.500
 0.585 -0.574
 0.575 -0.643
 0.566 -0.707
 0.556 -0.766
 0.546 -0.819
 0.535 -0.866
 0.525 -0.906
 0.514 -0.940
 0.503 -0.966
 0.493 -0.985
 0.481 -0.996
 0.470 -1.000
 0.459 -0.996
 0.447 -0.985
 0.436 -0.966
 0.424 -0.940
 0.412 -0.906
 0.400 -0.866
 0.388 -0.819
 0.376 -0.766
 0.363 -0.707
 0.351 -0.643
 0.338 -0.574
 0.325 -0.500
 0.313 -0.423
 0.300 -0.342
 0.287 -0.259
 0.274 -0.174
 0.260 -0.087
 0.247  0.000
 0.234  0.087
 0.221  0.174
 0.207  0.259
 0.194  0.342
 0.180  0.423
 0.166  0.500
 0.153  0.574
 0.139  0.643
 0.125  0.707
 0.111  0.766
 0.097  0.819
 0.084  0.866
 0.070  0.906
 0.056  0.940
 0.042  0.966
 0.028  0.985
 0.014  0.996
 0.000  1.000
-0.014  0.996
-0.028  0.985
-0.042  0.966
-0.056  0.940
-0.070  0.906
-0.084  0.866
-0.097  0.819
-0.111  0.766
-0.125  0.707
-0.139  0.643
-0.153  0.574
-0.166  0.500
-0.180  0.423
-0.194  0.342
-0.207  0.259
-0.221  0.174
-0.234  0.087
-0.247  0.000
-0.260 -0.087
-0.274 -0.174
-0.287 -0.259
-0.300 -0.342
-0.313 -0.423
-0.325 -0.500
-0.338 -0.574
-0.351 -0.643
-0.363 -0.707
-0.376 -0.766
-0.388 -0.819
-0.400 -0.866
-0.412 -0.906
-0.424 -0.940
-0.436 -0.966
-0.447 -0.985
-0.459 -0.996
-0.470 -1.000
-0.481 -0.996
-0.493 -0.985
-0.503 -0.966
-0.514 -0.940
-0.525 -0.906
-0.535 -0.866
-0.546 -0.819
-0.556 -0.766
-0.566 -0.707
-0.575 -0.643
-0.585 -0.574
-0.595 -0.500
-0.604 -0.423
-0.613 -0.342
-0.622 -0.259
-0.630 -0.174
-0.639 -0.087
-0.647  0.000
-0.655  0.087
-0.663  0.174
-0.671  0.259
-0.678  0.342
-0.686  0.423
-0.693  0.500
-0.700  0.574
-0.706  0.643
-0.713  0.707
-0.719  0.766
-0.725  0.819
-0.731  0.866
-0.736  0.906
-0.742  0.940
-0.747  0.966
-0.752  0.985
-0.756  0.996
-0.761  1.000
-0.765  0.996
-0.769  0.985
-0.773  0.966
-0.776  0.940
-0.779  0.906
-0.783  0.866
-0.785  0.819
-0.788  0.766
-0.790  0.707
-0.792  0.643
-0.794  0.574
-0.796  0.500
-0.797  0.423
-0.798  0.342
-0.799  0.259
-0.800  0.174
-0.800  0.087
-0.800  0.000
-0.800 -0.087
-0.800 -0.174
-0.799 -0.259
-0.798 -0.342
-0.797 -0.423
-0.796 -0.500
-0.794 -0.574
-0.792 -0.643
-0.790 -0.707
-0.788 -0.766
-0.785 -0.819
-0.783 -0.866
-0.779 -0.906
-0.776 -0.940
-0.773 -0.966
-0.769 -0.985
-0.765 -0.996
-0.761 -1.000
-0.756 -0.996
-0.752 -0.985
-0.747 -0.966
-0.742 -0.940
-0.736 -0.906
-0.731 -0.866
-0.725 -0.819
-0.719 -0.766
-0.713 -0.707
-0.706 -0.643
-0.700 -0.574
-0.693 -0.500
-0.686 -0.423
-0.678 -0.342
-0.671 -0.259
-0.663 -0.174
-0.655 -0.087
-0.647 -0.000
-0.639  0.087
-0.630  0.174
-0.622  0.259
-0.613  0.342
-0.604  0.423
-0.595  0.500
-0.585  0.574
-0.575  0.643
-0.566  0.707
-0.556  0.766
-0.546  0.819
-0.535  0.866
-0.525  0.906
-0.514  0.940
-0.503  0.966
-0.493  0.985
-0.481  0.996
-0.470  1.000
-0.459  0.996
-0.447  0.985
-0.436  0.966
-0.424  0.940
-0.412  0.906
-0.400  0.866
-0.388  0.819
-0.376  0.766
-0.363  0.707
-0.351  0.643
-0.338  0.574
-0.325  0.500
-0.313  0.423
-0.300  0.342
-0.287  0.259
-0.274  0.174
-0.260  0.087
-0.247 -0.000
-0.234 -0.087
-0.221 -0.174
-0.207 -0.259
-0.194 -0.342
-0.180 -0.423
-0.166 -0.500
-0.153 -0.574
-0.139 -0.643
-0.125 -0.707
-0.111 -0.766
-0.097 -0.819
-0.084 -0.866
-0.070 -0.906
-0.056 -0.940
-0.042 -0.966
-0.028 -0.985
-0.014 -0.996
-0.000 -1.000
 0.014 -0.996
 0.028 -0.985
 0.042 -0.966
 0.056 -0.940
 0.070 -0.906
 0.084 -0.866
 0.097 -0.819
 0.111 -0.766
 0.125 -0.707
 0.139 -0.643
 0.153 -0.574
 0.166 -0.500
 0.180 -0.423
 0.194 -0.342
 0.207 -0.259
 0.221 -0.174
 0.234 -0.087
 0.247  0.000
 0.260  0.087
 0.274  0.174
 0.287  0.259
 0.300  0.342
 0.313  0.423
 0.325  0.500
 0.338  0.574
 0.351  0.643
 0.363  0.707
 0.376  0.766
 0.388  0.819
 0.400  0.866
 0.412  0.906
 0.424  0.940
 0.436  0.966
 0.447  0.985
 0.459  0.996
 0.470  1.000
 0.481  0.996
 0.493  0.985
 0.503  0.966
 0.514  0.940
 0.525  0.906
 0.535  0.866
 0.546  0.819
 0.556  0.766
 0.566  0.707
 0.575  0.643
 0.585  0.574
 0.595  0.500
 0.604  0.423
 0.613  0.342
 0.622  0.259
 0.630  0.174
 0.639  0.087
 0.647  0.000
 0.655 -0.087
 0.663 -0.174
 0.671 -0.259
 0.678 -0.342
 0.686 -0.423
 0.693 -0.500
 0.700 -0.574
 0.706 -0.643
 0.713 -0.707
 0.719 -0.766
 0.725 -0.819
 0.731 -0.866
 0.736 -0.906
 0.742 -0.940
 0.747 -0.966
 0.752 -0.985
 0.756 -0.996
 0.761 -1.000
 0.765 -0.996
 0.769 -0.985
 0.773 -0.966
 0.776 -0.940
 0.779 -0.906
 0.783 -0.866
 0.785 -0.819
 0.788 -0.766
 0.790 -0.707
 0.792 -0.643
 0.794 -0.574
 0.796 -0.500
 0.797 -0.423
 0.798 -0.342
 0.799 -0.259
 0.800 -0.174
 0.800 -0.087
 0.800 -0.000
