    -9.034      0.259
    -8.937      0.285
    -8.841      0.310
    -8.744      0.336
    -8.648      0.362
    -8.551      0.388
    -8.454      0.413
    -8.358      0.439
    -8.261      0.464
    -8.164      0.490
    -8.068      0.516
    -7.971      0.541
    -7.874      0.566
    -7.777      0.592
    -7.681      0.617
    -7.584      0.642
    -7.487      0.667
    -7.390      0.692
    -7.293      0.717
    -7.197      0.742
    -7.100      0.767
    -7.003      0.792
    -6.906      0.816
    -6.809      0.841
    -6.712      0.865
    -6.615      0.889
    -6.518      0.914
    -6.421      0.938
    -6.324      0.962
    -6.227      0.985
    -6.129      1.009
    -6.032      1.032
    -5.935      1.056
    -5.838      1.079
    -5.740      1.102
    -5.643      1.125
    -5.546      1.147
    -5.448      1.170
    -5.351      1.192
    -5.253      1.214
    -5.156      1.236
    -5.058      1.257
    -4.960      1.279
    -4.862      1.300
    -4.765      1.321
    -4.667      1.342
    -4.569      1.362
    -4.471      1.382
    -4.373      1.402
    -4.275      1.422
    -4.177      1.441
    -4.079      1.460
    -3.980      1.479
    -3.882      1.497
    -3.784      1.515
    -3.685      1.533
    -3.587      1.550
    -3.488      1.568
    -3.390      1.584
    -3.291      1.601
    -3.192      1.617
    -3.094      1.632
    -2.995      1.648
    -2.896      1.662
    -2.797      1.677
    -2.698      1.691
    -2.599      1.704
    -2.500      1.718
    -2.401      1.730
    -2.301      1.743
    -2.202      1.754
    -2.103      1.766
    -2.003      1.777
    -1.904      1.787
    -1.804      1.797
    -1.705      1.807
    -1.605      1.816
    -1.506      1.824
    -1.406      1.832
    -1.306      1.840
    -1.206      1.847
    -1.107      1.853
    -1.007      1.859
    -0.907      1.865
    -0.807      1.870
    -0.707      1.874
    -0.607      1.878
    -0.507      1.881
    -0.407      1.884
    -0.307      1.886
    -0.207      1.888
    -0.107      1.889
    -0.007      1.890
