E[MeV]  W[MeV]  pc[MeV]  v/c
 1.760   2.271   2.213  0.9744
 1.770   2.281   2.223  0.9746
 1.780   2.291   2.233  0.9748
 1.790   2.301   2.244  0.9750
 1.800   2.311   2.254  0.9752
 1.810   2.321   2.264  0.9755
 1.820   2.331   2.274  0.9757
 1.830   2.341   2.285  0.9759
 1.840   2.351   2.295  0.9761
 1.850   2.361   2.305  0.9763
 1.860   2.371   2.315  0.9765
 1.870   2.381   2.326  0.9767
 1.880   2.391   2.336  0.9769
 1.890   2.401   2.346  0.9771
 1.900   2.411   2.356  0.9773
 1.910   2.421   2.366  0.9775
 1.920   2.431   2.377  0.9777
 1.930   2.441   2.387  0.9778
 1.940   2.451   2.397  0.9780
 1.950   2.461   2.407  0.9782
 1.960   2.471   2.418  0.9784
 1.970   2.481   2.428  0.9786
 1.980   2.491   2.438  0.9787
 1.990   2.501   2.448  0.9789
 2.000   2.511   2.458  0.9791
